NameOfMedicine;InternationalName;ActiveSubstance;Therapeutic;URL
Cosentyx;secukinumab;Secukinumab;Plaque psoriasis Cosentyx is indicated for the treatment of moderate to severe plaque psoriasis in adults and children from the age of 6 years old who are candidates for systemic therapy. Hidradenitis suppurativa (HS) Cosentyx is indicated for the treatment of active moderate to severe hidradenitis suppurativa (acne inversa) in adults with an inadequate response to conventional systemic HS therapy. Psoriatic arthritis Cosentyx, alone or in combination with methotrexate (MTX), is indicated for the treatment of active psoriatic arthritis in adult patients when the response to previous disease modifying anti rheumatic drug (DMARD) therapy has been inadequate. Axial spondyloarthritis (axSpA) Ankylosing spondylitis (AS, radiographic axial spondyloarthritis) Cosentyx is indicated for the treatment of active ankylosing spondylitis in adults who have responded inadequately to conventional therapy. Non-radiographic axial spondyloarthritis (nr-axSpA) Cosentyx is indicated for the treatment of active non-radiographic axial spondyloarthritis with objective signs of inflammation as indicated by elevated C-reactive protein (CRP) and/or magnetic resonance imaging (MRI) evidence in adults who have responded inadequately to non steroidal anti inflammatory drugs (NSAIDs). Juvenile idiopathic arthritis (JIA) Enthesitis-related arthritis (ERA) Cosentyx, alone or in combination with methotrexate (MTX), is indicated for the treatment of active enthesitis-related arthritis in patients 6 years and older whose disease has responded inadequately to, or who cannot tolerate, conventional therapy. Juvenile psoriatic arthritis (JPsA) Cosentyx, alone or in combination with methotrexate (MTX), is indicated for the treatment of active juvenile psoriatic arthritis in patients 6 years and older whose disease has responded inadequately to, or who cannot tolerate, conventional therapy.;https://www.ema.europa.eu/en/medicines/human/EPAR/cosentyx
Erbitux;cetuximab;cetuximab;"Erbitux is indicated for the treatment of patients with epidermal growth factor receptor (EGFR)-expressing, RAS wild-type metastatic colorectal cancer:  in combination with irinotecan-based chemotherapy; in first-line in combination with FOLFOX; as a single agent in patients who have failed oxaliplatin- and irinotecan-based therapy and who are intolerant to irinotecan.  For details, see section 5.1. Erbitux is indicated for the treatment of patients with squamous cell cancer of the head and neck:  in combination with radiation therapy for locally advanced disease; in combination with platinum-based chemotherapy for recurrent and/or metastatic disease.";https://www.ema.europa.eu/en/medicines/human/EPAR/erbitux
Inlyta;axitinib;axitinib;Inlyta is indicated for the treatment of adult patients with advanced renal cell carcinoma (RCC) after failure of prior treatment with sunitinib or a cytokine.;https://www.ema.europa.eu/en/medicines/human/EPAR/inlyta
Baraclude;entecavir;Entecavir;"Baraclude is indicated for the treatment of chronic hepatitis B virus (HBV) infection in adults with:  compensated liver disease and evidence of active viral replication, persistently elevated serum alanine aminotransferase (ALT) levels and histological evidence of active inflammation and/or fibrosis; decompensated liver disease.  For both compensated and decompensated liver disease, this indication is based on clinical trial data in nucleoside naive patients with HBeAg positive and HBeAg negative HBV infection. With respect to patients with lamivudine-refractory hepatitis B.";https://www.ema.europa.eu/en/medicines/human/EPAR/baraclude
Avonex;interferon beta-1a;interferon beta-1a;"Avonex is indicated for the treatment of:  patients diagnosed with relapsing multiple sclerosis (MS). In clinical trials, this was characterised by two or more acute exacerbations (relapses) in the previous three years without evidence of continuous progression between relapses; Avonex slows the progression of disability and decreases the frequency of relapses; patients with a single demyelinating event with an active inflammatory process, if it is severe enough to warrant treatment with intravenous corticosteroids, if alternative diagnoses have been excluded, and if they are determined to be at high risk of developing clinically definite MS.  Avonex should be discontinued in patients who develop progressive MS.";https://www.ema.europa.eu/en/medicines/human/EPAR/avonex
Leflunomide Zentiva (previously Leflunomide Winthrop);leflunomide;leflunomide;"Leflunomide is indicated for the treatment of adult patients with:  active rheumatoid arthritis as a 'disease-modifying antirheumatic drug' (DMARD); active psoriatic arthritis.  Recent or concurrent treatment with hepatotoxic or haematotoxic DMARDs (e.g. methotrexate) may result in an increased risk of serious adverse reactions; therefore, the initiation of leflunomide treatment has to be carefully considered regarding these benefit / risk aspects. Moreover, switching from leflunomide to another DMARD without following the washout procedure may also increase the risk of serious adverse reactions even for a long time after the switching.";https://www.ema.europa.eu/en/medicines/human/EPAR/leflunomide-zentiva
Lymphoseek;tilmanocept;tilmanocept;This medicinal product is for diagnostic use only. Radiolabelled Lymphoseek is indicated for imaging and intraoperative detection of sentinel lymph nodes draining a primary tumour in adult patients with breast cancer, melanoma, or localised squamous cell carcinoma of the oral cavity. External imaging and intraoperative evaluation may be performed using a gamma detection device.;https://www.ema.europa.eu/en/medicines/human/EPAR/lymphoseek
Lymphoseek;tilmanocept;tilmanocept;This medicinal product is for diagnostic use only. Radiolabelled Lymphoseek is indicated for imaging and intraoperative detection of sentinel lymph nodes draining a primary tumour in adult patients with breast cancer, melanoma, or localised squamous cell carcinoma of the oral cavity. External imaging and intraoperative evaluation may be performed using a gamma detection device.;https://www.ema.europa.eu/en/medicines/human/EPAR/lymphoseek
Iscover;clopidogrel;clopidogrel;Secondary prevention of atherothrombotic events Clopidogrel is indicated in:  Adult patients suffering from myocardial infarction (from a few days until less than 35 days), ischaemic stroke (from 7 days until less than 6 months) or established peripheral arterial disease. Adult patients suffering from acute coronary syndrome:  Non-ST segment elevation acute coronary syndrome (unstable angina or non-Q-wave myocardial infarction), including patients undergoing a stent placement following percutaneous coronary intervention, in combination with acetylsalicylic acid (ASA). ST segment elevation acute myocardial infarction, in combination with ASA in patients undergoing percutaneous coronary intervention (including patients undergoing a stent placement) or medically treated patients eligible for thrombolytic/fibrinolytic therapy.    In patients with moderate to high-risk Transient Ischemic Attack (TIA) or minor Ischemic Stroke (IS)Clopidogrel in combination with ASA is indicated in:  Adult patients with moderate to high-risk TIA (ABCD2  score ?4) or minor IS (NIHSS  ?3) within 24 hours of either the TIA or IS event.  Prevention of atherothrombotic and thromboembolic events in atrial fibrillation In adult patients with atrial fibrillation who have at least one risk factor for vascular events, are not suitable for treatment with Vitamin K antagonists (VKA) and who have a low bleeding risk, clopidogrel is indicated in combination with ASA for the prevention of atherothrombotic and thromboembolic events, including stroke.;https://www.ema.europa.eu/en/medicines/human/EPAR/iscover
Filsuvez;birch bark extract;dry extract from birch bark (DER 5-10 : 1), extraction solvent n-heptane 95% (w/w);Treatment of partial thickness wounds associated with dystrophic and junctional epidermolysis bullosa (EB) in patients 6 months and older.;https://www.ema.europa.eu/en/medicines/human/EPAR/filsuvez
Prolia;denosumab;denosumab;Treatment of osteoporosis in postmenopausal women and in men at increased risk of fractures. In postmenopausal women Prolia significantly reduces the risk of vertebral, non vertebral and hip fractures. Treatment of bone loss associated with hormone ablation in men with prostate cancer at increased risk of fractures. In men with prostate cancer receiving hormone ablation, Prolia significantly reduces the risk of vertebral fractures.;https://www.ema.europa.eu/en/medicines/human/EPAR/prolia
Intelence;etravirine;Etravirine;Intelence, in combination with a boosted protease inhibitor and other antiretroviral medicinal products, is indicated for the treatment of human-immunodeficiency-virus-type-1 (HIV-1) infection in antiretroviral-treatment-experienced adult patients and in antiretroviral-treatment-experienced paediatric patients from six years of age. This indication is based on week-48 analyses from two phase-III trials in highly pretreated patients where Intelence was investigated in combination with an optimised background regimen (OBR) which included darunavir/ritonavir. The indication in paediatric patients is based on 48-week analyses of a single-arm, phase-II trial in antiretroviral-treatment-experienced paediatric patients.;https://www.ema.europa.eu/en/medicines/human/EPAR/intelence
Intelence;etravirine;Etravirine;Intelence, in combination with a boosted protease inhibitor and other antiretroviral medicinal products, is indicated for the treatment of human-immunodeficiency-virus-type-1 (HIV-1) infection in antiretroviral-treatment-experienced adult patients and in antiretroviral-treatment-experienced paediatric patients from six years of age. This indication is based on week-48 analyses from two phase-III trials in highly pretreated patients where Intelence was investigated in combination with an optimised background regimen (OBR) which included darunavir/ritonavir. The indication in paediatric patients is based on 48-week analyses of a single-arm, phase-II trial in antiretroviral-treatment-experienced paediatric patients.;https://www.ema.europa.eu/en/medicines/human/EPAR/intelence
Doptelet;avatrombopag;avatrombopag maleate;Doptelet is indicated for the treatment of severe thrombocytopenia in adult patients with chronic liver disease who are scheduled to undergo an invasive procedure. Doptelet is indicated for the treatment of primary chronic immune thrombocytopenia (ITP) in adult patients who are refractory to other treatments (e.g. corticosteroids, immunoglobulins).;https://www.ema.europa.eu/en/medicines/human/EPAR/doptelet
Efmody;hydrocortisone;hydrocortisone;Treatment of congenital adrenal hyperplasia (CAH) in adolescents aged 12 years and over and adults.;https://www.ema.europa.eu/en/medicines/human/EPAR/efmody
Jardiance;empagliflozin;empagliflozin;"Type 2 diabetes mellitus Jardiance is indicated in adults and children aged 10 years and above for the treatment of insufficiently controlled type 2 diabetes mellitus as an adjunct to diet and exercise  as monotherapy when metformin is considered inappropriate due to intolerance in addition to other medicinal products for the treatment of diabetes  For study results with respect to combination of therapies, effects on glycaemic control, cardiovascular and renal events, and the populations studied, see sections 4.4, 4.5 and 5.1. Heart failure Jardiance is indicated in adults for the treatment of symptomatic chronic heart failure.&nbsp; Chronic kidney disease Jardiance is indicated in adults for the treatment of chronic kidney disease.";https://www.ema.europa.eu/en/medicines/human/EPAR/jardiance
Dabigatran Etexilate Accord;dabigatran etexilate;Dabigatran etexilate mesilate;Prevention of venous thromboembolic events;https://www.ema.europa.eu/en/medicines/human/EPAR/dabigatran-etexilate-accord
Fasturtec;rasburicase;rasburicase;Treatment and prophylaxis of acute hyperuricaemia, in order to prevent acute renal failure, in adults, children and adolescents (aged 0 to 17 years) with haematological malignancy with a high tumour burden and at risk of a rapid tumour lysis or shrinkage at initiation of chemotherapy.;https://www.ema.europa.eu/en/medicines/human/EPAR/fasturtec
Cerdelga;eliglustat;eliglustat;Cerdelga is indicated for the long-term treatment of adult patients with Gaucher disease type 1 (GD1), who are CYP2D6 poor metabolisers (PMs), intermediate metabolisers (IMs) or extensive metabolisers (EMs).;https://www.ema.europa.eu/en/medicines/human/EPAR/cerdelga
Thyrogen;thyrotropin alfa;thyrotropin alfa;Thyrogen is indicated for use with serum thyroglobulin (Tg) testing with or without radioiodine imaging for the detection of thyroid remnants and well-differentiated thyroid cancer in post thyroidectomy patients maintained on hormone suppression therapy (THST). Low risk patients with well-differentiated thyroid carcinoma who have undetectable serum Tg levels on THST and no rh (recombinant human) TSH-stimulated increase of Tg levels may be followed-up by assaying rh TSH-stimulated Tg levels. Thyrogen is indicated for pre-therapeutic stimulation in combination with a range of 30 mCi (1.1 GBq) to 100 mCi (3.7 GBq) radioiodine for ablation of thyroid tissue remnants in patients who have undergone a near-total or total thyroidectomy for well-differentiated thyroid cancer and who do not have evidence of distant metastatic thyroid cancer (see section 4.4).;https://www.ema.europa.eu/en/medicines/human/EPAR/thyrogen
Thyrogen;thyrotropin alfa;thyrotropin alfa;Thyrogen is indicated for use with serum thyroglobulin (Tg) testing with or without radioiodine imaging for the detection of thyroid remnants and well-differentiated thyroid cancer in post thyroidectomy patients maintained on hormone suppression therapy (THST). Low risk patients with well-differentiated thyroid carcinoma who have undetectable serum Tg levels on THST and no rh (recombinant human) TSH-stimulated increase of Tg levels may be followed-up by assaying rh TSH-stimulated Tg levels. Thyrogen is indicated for pre-therapeutic stimulation in combination with a range of 30 mCi (1.1 GBq) to 100 mCi (3.7 GBq) radioiodine for ablation of thyroid tissue remnants in patients who have undergone a near-total or total thyroidectomy for well-differentiated thyroid cancer and who do not have evidence of distant metastatic thyroid cancer (see section 4.4).;https://www.ema.europa.eu/en/medicines/human/EPAR/thyrogen
Voriconazole Accord;voriconazole;voriconazole;"Voriconazole is a broad-spectrum, triazole antifungal agent and is indicated in adults and children aged two years and above as follows:  treatment of invasive aspergillosis; treatment of candidaemia in non-neutropenic patients; treatment of fluconazole-resistant serious invasive Candida infections (including C. krusei); Treatment of serious fungal infections caused by Scedosporium spp. and Fusarium spp.  Voriconazole Accord should be administered primarily to patients with progressive, possibly life-threatening infections.";https://www.ema.europa.eu/en/medicines/human/EPAR/voriconazole-accord
Voriconazole Accord;voriconazole;voriconazole;"Voriconazole is a broad-spectrum, triazole antifungal agent and is indicated in adults and children aged two years and above as follows:  treatment of invasive aspergillosis; treatment of candidaemia in non-neutropenic patients; treatment of fluconazole-resistant serious invasive Candida infections (including C. krusei); Treatment of serious fungal infections caused by Scedosporium spp. and Fusarium spp.  Voriconazole Accord should be administered primarily to patients with progressive, possibly life-threatening infections.";https://www.ema.europa.eu/en/medicines/human/EPAR/voriconazole-accord
Synjardy;"empagliflozin;metformin";"empagliflozin;metformin";"Synjardy is indicated in adults aged 18 years and older with type 2 diabetes mellitus as an adjunct to diet and exercise to improve glycaemic control:  in patients inadequately controlled on their maximally tolerated dose of metformin alone; in patients inadequately controlled with metformin in combination with other glucose-lowering medicinal products, including insulin; in patients already being treated with the combination of empagliflozin and metformin as separate tablets.";https://www.ema.europa.eu/en/medicines/human/EPAR/synjardy
Aybintio;bevacizumab;bevacizumab;Aybintio in combination with fluoropyrimidine-based chemotherapy is indicated for treatment of adult patients with metastatic carcinoma of the colon or rectum. Aybintio in combination with paclitaxel is indicated for first-line treatment of adult patients with metastatic breast cancer. For further information as to human epidermal growth factor receptor 2 (HER2) status, please refer to section 5.1 of the SmPC. Aybintio in combination with capecitabine is indicated for first-line treatment of adult patients with metastatic breast cancer in whom treatment with other chemotherapy options including taxanes or anthracyclines is not considered appropriate. Patients who have received taxane and anthracyclinecontaining regimens in the adjuvant setting within the last 12 months should be excluded from treatment with Aybintio in combination with capecitabine. For further information as to HER2 status, please refer to section 5.1 of the SmPC. Aybintio, in addition to platinum-based chemotherapy, is indicated for first-line treatment of adult patients with unresectable advanced, metastatic or recurrent non-small cell lung cancer other than predominantly squamous cell histology. Aybintio, in combination with erlotinib, is indicated for first-line treatment of adult patients with unresectable advanced, metastatic or recurrent non-squamous non-small cell lung cancer with Epidermal Growth Factor Receptor (EGFR) activating mutations (see section 5.1 of the SmPC). Aybintio in combination with interferon alfa-2a is indicated for first line treatment of adult patients with advanced and/or metastatic renal cell cancer. Aybintio, in combination with carboplatin and paclitaxel is indicated for the front-line treatment of adult patients with advanced (International Federation of Gynecology and Obstetrics (FIGO) stages III B, III C and IV) epithelial ovarian, fallopian tube, or primary peritoneal cancer (see section 5.1 of the SmPC). Aybintio, in combination with carboplatin and gemcitabine or in combination with carboplatin and paclitaxel, is indicated for treatment of adult patients with first recurrence of platinum-sensitive epithelial ovarian, fallopian tube or primary peritoneal cancer who have not received prior therapy with bevacizumab or other VEGF inhibitors or VEGF receptor targeted agents. Aybintio, in combination with topotecan, or pegylated liposomal doxorubicin is indicated for the treatment of adult patients with platinum-resistant recurrent epithelial ovarian, fallopian tube, or primary peritoneal cancer who received no more than two prior chemotherapy regimens and who have not received prior therapy with bevacizumab or other VEGF inhibitors or VEGF receptor targeted agents (see section 5.1 of the SmPC). Aybintio, in combination with paclitaxel and cisplatin or, alternatively, paclitaxel and topotecan in patients who cannot receive platinum therapy, is indicated for the treatment of adult patients with persistent, recurrent, or metastatic carcinoma of the cervix (see section 5.1 of the SmPC).;https://www.ema.europa.eu/en/medicines/human/EPAR/aybintio
Volibris;ambrisentan;ambrisentan;Volibris is indicated for treatment of pulmonary arterial hypertension (PAH) in adult patients of WHO Functional Class (FC) II to III, including use in combination treatment (see section 5.1).  Efficacy has been shown in idiopathic PAH (IPAH) and in PAH associated with connective tissue disease. Volibris is indicated for treatment of PAH in adolescents and children (aged 8 to less than 18 years) of WHO Functional Class (FC) II to III including use in combination treatment. Efficacy has been shown in IPAH, familial, corrected congenital and in PAH associated with connective tissue disease (see section 5.1).;https://www.ema.europa.eu/en/medicines/human/EPAR/volibris
Jcovden (previously COVID-19 Vaccine Janssen);COVID-19 vaccine (Ad26.COV2-S [recombinant]);adenovirus type 26 encoding the SARS-CoV-2 spike glycoprotein (Ad26.COV2-S);Jcovden is indicated for active immunisation to prevent COVID-19 caused by SARS-CoV-2 in individuals 18 years of age and older. The use of this vaccine should be in accordance with official recommendations.;https://www.ema.europa.eu/en/medicines/human/EPAR/jcovden
Apidra;insulin glulisine;insulin glulisine;Treatment of adults, adolescents and children, six years or older with diabetes mellitus, where treatment with insulin is required.;https://www.ema.europa.eu/en/medicines/human/EPAR/apidra
Buvidal;buprenorphine;buprenorphine;Treatment of opioid dependence within a framework of medical, social and psychological treatment. Treatment is intended for use in adults and adolescents aged 16 years or over.;https://www.ema.europa.eu/en/medicines/human/EPAR/buvidal
Scemblix;asciminib;asciminib hydrochloride;Scemblix is indicated for the treatment of adult patients with Philadelphia chromosome positive chronic myeloid leukaemia in chronic phase (Ph+ CML CP) previously treated with two or more tyrosine kinase inhibitors (see section 5.1).;https://www.ema.europa.eu/en/medicines/human/EPAR/scemblix
Nexviadyme;Avalglucosidase alfa;Avalglucosidase alfa;Nexviadyme (avalglucosidase alfa) is indicated for long-term enzyme replacement therapy for the treatment of patients with Pompe disease (acid ?-glucosidase deficiency).;https://www.ema.europa.eu/en/medicines/human/EPAR/nexviadyme
Kymriah;tisagenlecleucel;tisagenlecleucel;Kymriah is indicated for the treatment of: • Paediatric and young adult patients up to and including 25 years of age with B cell acute lymphoblastic leukaemia (ALL) that is refractory, in relapse post transplant or in second or later relapse. • Adult patients with relapsed or refractory diffuse large B cell lymphoma (DLBCL) after two or more lines of systemic therapy. • Adult patients with relapsed or refractory follicular lymphoma (FL) after two or more lines of systemic therapy.;https://www.ema.europa.eu/en/medicines/human/EPAR/kymriah
Avzivi;bevacizumab;bevacizumab;Treatment of metastatic carcinoma of the colon or rectum, metastatic breast cancer and recurrence of platinum-sensitive epithelial ovarian, fallopian tube or primary peritoneal cancer first-line treatment of patients with unresectable advanced, metastatic or recurrent non-small cell lung cancer. first line treatment of patients with advanced and/or metastatic renal cell cancer.;https://www.ema.europa.eu/en/medicines/human/EPAR/avzivi
Nepexto;etanercept;etanercept;"Rheumatoid arthritis Nepexto in combination with methotrexate is indicated for the treatment of moderate to severe active rheumatoid arthritis in adults when the response to disease-modifying antirheumatic drugs, including methotrexate (unless contraindicated), has been inadequate. Nepexto can be given as monotherapy in case of intolerance to methotrexate or when continued treatment with methotrexate is inappropriate.&nbsp; Nepexto is also indicated in the treatment of severe, active and progressive rheumatoid arthritis in adults not previously treated with methotrexate. Nepexto, alone or in combination with methotrexate, has been shown to reduce the rate of progression of joint damage as measured by X-ray and to improve physical function. Juvenile idiopathic arthritis Treatment of polyarthritis (rheumatoid factor positive or negative) and extended oligoarthritis in children and adolescents from the age of 2 years who have had an inadequate response to, or who have proved intolerant of, methotrexate. Treatment of psoriatic arthritis in adolescents from the age of 12 years who have had an inadequate response to, or who have proved intolerant of, methotrexate. Treatment of enthesitis-related arthritis in adolescents from the age of 12 years who have had an inadequate response to, or who have proved intolerant of, conventional therapy. Etanercept has not been studied in children aged less than 2 years. Psoriatic arthritis Treatment of active and progressive psoriatic arthritis in adults when the response to previous disease-modifying antirheumatic drug therapy has been inadequate. Etanercept has been shown to improve physical function in patients with psoriatic arthritis, and to reduce the rate of progression of peripheral joint damage as measured by X-ray in patients with polyarticular symmetrical subtypes of the disease. Axial spondyloarthritis Ankylosing spondylitis  Treatment of adults with severe active ankylosing spondylitis who have had an inadequate response to conventional therapy. Non-radiographic axial spondyloarthritis  Treatment of adults with severe non-radiographic axial spondyloarthritis with objective signs of inflammation as indicated by elevated C-reactive protein (CRP) and/or magnetic resonance imaging (MRI) evidence, who have had an inadequate response to nonsteroidal anti-inflammatory drugs (NSAIDs). Plaque psoriasis Treatment of adults with moderate to severe plaque psoriasis who failed to respond to, or who have a contraindication to, or are intolerant to other systemic therapy, including ciclosporin, methotrexate or psoralen and ultraviolet-A light (PUVA). Paediatric plaque psoriasis Treatment of chronic severe plaque psoriasis in children and adolescents from the age of 6 years who are inadequately controlled by, or are intolerant to, other systemic therapies or phototherapies.";https://www.ema.europa.eu/en/medicines/human/EPAR/nepexto
Brilique;ticagrelor;Ticagrelor;Brilique, co administered with acetylsalicylic acid (ASA), is indicated for the prevention of atherothrombotic events in adult patients with  acute coronary syndromes (ACS) or a history of myocardial infarction (MI) and a high risk of developing an atherothrombotic event  Brilique, co-administered with acetyl salicylic acid (ASA), is indicated for the prevention of atherothrombotic events in adult patients with a history of myocardial infarction (MI occurred at least one year ago) and a high risk of developing an atherothrombotic event.;https://www.ema.europa.eu/en/medicines/human/EPAR/brilique
Tobi Podhaler;tobramycin;Tobramycin;Tobi Podhaler is indicated for the suppressive therapy of chronic pulmonary infection due to Pseudomonas aeruginosa in adults and children aged 6 years and older with cystic fibrosis. See sections 4.4 and 5.1 regarding data in different age groups. Consideration should be given to official guidance on the appropriate use of antibacterial agents.;https://www.ema.europa.eu/en/medicines/human/EPAR/tobi-podhaler
Bimzelx;bimekizumab;bimekizumab;Plaque psoriasis Bimzelx is indicated for the treatment of moderate to severe plaque psoriasis in adults who are candidates for systemic therapy. Psoriatic arthritis Bimzelx, alone or in combination with methotrexate, is indicated for the treatment of active psoriatic arthritis in adults who have had an inadequate response or who have been intolerant to one or more disease-modifying antirheumatic drugs (DMARDs). Axial spondyloarthritis Non-radiographic axial spondyloarthritis (nr-axSpA) Bimzelx is indicated for the treatment of adults with active non-radiographic axial spondyloarthritis with objective signs of inflammation as indicated by elevated C-reactive protein (CRP) and/or magnetic resonance imaging (MRI) who have responded inadequately or are intolerant to non-steroidal anti-inflammatory drugs (NSAIDs). Ankylosing spondylitis (AS, radiographic axial spondyloarthritis) Bimzelx is indicated for the treatment of adults with active ankylosing spondylitis who have responded inadequately or are intolerant to conventional therapy. Hidradenitis suppurativa (HS)Bimzelx is indicated for the treatment of active moderate to severe hidradenitis suppurativa (acne inversa) in adults with an inadequate response to conventional systemic HS therapy.;https://www.ema.europa.eu/en/medicines/human/EPAR/bimzelx
Adzynma;rADAMTS13;"apadamtase alfa;cinaxadamtase alfa";Treatment of congenital thrombotic thrombocytopenic purpura (cTTP) due to ADAMTS13 deficiency;https://www.ema.europa.eu/en/medicines/human/EPAR/adzynma
Adzynma;rADAMTS13;"apadamtase alfa;cinaxadamtase alfa";Treatment of congenital thrombotic thrombocytopenic purpura (cTTP) due to ADAMTS13 deficiency;https://www.ema.europa.eu/en/medicines/human/EPAR/adzynma
Kimmtrak;tebentafusp;tebentafusp;Kimmtrak is indicated as monotherapy for the treatment of human leukocyte antigen (HLA)-A*02:01-positive adult patients with unresectable or metastatic uveal melanoma.;https://www.ema.europa.eu/en/medicines/human/EPAR/kimmtrak
Tizveni;tislelizumab;Tislelizumab;Non-small cell lung cancer (NSCLC)Tizveni in combination with pemetrexed and platinum-containing chemotherapy is indicated for the first-line treatment of adult patients with non-squamous non-small cell lung cancer whose tumours have PD-L1 expression on ≥50% of tumour cells with no EGFR or ALK positive mutations and who have:• locally advanced NSCLC and are not candidates for surgical resection or platinum-based chemoradiation, or• metastatic NSCLC.Tizveni in combination with carboplatin and either paclitaxel or nab-paclitaxel is indicated for the first-line treatment of adult patients with squamous non-small cell lung cancer who have:• locally advanced NSCLC and are not candidates for surgical resection or platinum-based chemoradiation, or• metastatic NSCLC.Tizveni as monotherapy is indicated for the treatment of adult patients with locally advanced or metastatic non-small cell lung cancer after prior platinum-based therapy. Patients with EGFR mutant or ALK positive NSCLC should also have received targeted therapies before receiving tislelizumab.;https://www.ema.europa.eu/en/medicines/human/EPAR/tizveni
Evicel;"human fibrinogen;human thrombin";"human fibrinogen;human thrombin";Evicel is used as supportive treatment in surgery where standard surgical techniques are insufficient, for improvement of haemostasis. Evicel is also indicated as suture support for haemostasis in vascular surgery.;https://www.ema.europa.eu/en/medicines/human/EPAR/evicel
Aclasta;zoledronic acid;zoledronic acid;"Treatment of osteoporosis:  in post-menopausal women; in men;  at increased risk of fracture, including those with a recent low-trauma hip fracture. Treatment of osteoporosis associated with long-term systemic glucocorticoid therapy in post-menopausal women and in men at increased risk of fracture. Treatment of Paget's disease of the bone.";https://www.ema.europa.eu/en/medicines/human/EPAR/aclasta
Remsima;infliximab;infliximab;"Rheumatoid arthritis Remsima, in combination with methotrexate, is indicated for the reduction of signs and symptoms as well as the improvement in physical function in:  adult patients with active disease when the response to disease?modifying antirheumatic drugs (DMARDs), including methotrexate, has been inadequate; adult patients with severe, active and progressive disease not previously treated with methotrexate or other DMARDs.  In these patient populations, a reduction in the rate of the progression of joint damage, as measured by X?ray, has been demonstrated. Adult Crohn’s disease Remsima is indicated for:  treatment of moderately to severely active Crohn’s disease, in adult patients who have not responded despite a full and adequate course of therapy with a corticosteroid and / or an immunosuppressant or who are intolerant to or have medical contraindications for such therapies; treatment of fistulising, active Crohn’s disease, in adult patients who have not responded despite a full and adequate course of therapy with conventional treatment (including antibiotics, drainage and immunosuppressive therapy).  Paediatric Crohn’s disease Remsima is indicated for treatment of severe, active Crohn’s disease in children and adolescents aged six to 17 years, who have not responded to conventional therapy including a corticosteroid, an immunomodulator and primary nutrition therapy; or who are intolerant to or have contraindications for such therapies. Infliximab has been studied only in combination with conventional immunosuppressive therapy. Ulcerative colitis Remsima is indicated for treatment of moderately to severely active ulcerative colitis in adult patients who have had an inadequate response to conventional therapy including corticosteroids and 6?mercaptopurine (6?MP) or azathioprine (AZA), or who are intolerant to or have medical contraindications for such therapies. Paediatric ulcerative colitis Remsima is indicated for treatment of severely active ulcerative colitis in children and adolescents aged six to 17 years, who have had an inadequate response to conventional therapy including corticosteroids and 6?MP or AZA, or who are intolerant to or have medical contraindications for such therapies. Ankylosing spondylitis Remsima is indicated for treatment of severe, active ankylosing spondylitis, in adult patients who have responded inadequately to conventional therapy. Psoriatic arthritis Remsima is indicated for treatment of active and progressive psoriatic arthritis in adult patients when the response to previous DMARD therapy has been inadequate. Remsima should be administered:  in combination with methotrexate; or alone in patients who show intolerance to methotrexate or for whom methotrexate is contraindicated.  Infliximab has been shown to improve physical function in patients with psoriatic arthritis, and to reduce the rate of progression of peripheral joint damage as measured by X?ray in patients with polyarticular symmetrical subtypes of the disease. Psoriasis Remsima is indicated for treatment of moderate to severe plaque psoriasis in adult patients who failed to respond to, or who have a contraindication to, or are intolerant to other systemic therapy including cyclosporine, methotrexate or psoralen ultra-violet A (PUVA).";https://www.ema.europa.eu/en/medicines/human/EPAR/remsima
Velsipity;Etrasimod;Etrasimod arginine;Velsipity is indicated for the treatment of patients 16 years of age and older with moderately to severely active ulcerative colitis (UC) who have had an inadequate response, lost response, or were intolerant to either conventional therapy, or a biological agent.;https://www.ema.europa.eu/en/medicines/human/EPAR/velsipity
Jeraygo;aprocitentan;aprocitentan;Treatment of resistant hypertension;https://www.ema.europa.eu/en/medicines/human/EPAR/jeraygo
Jemperli;dostarlimab;dostarlimab;JEMPERLI is indicated in combination with carboplatin and paclitaxel for the treatment of adult patients with mismatch repair deficient (dMMR)/ microsatellite instability‑high (MSI‑H) primary advanced or recurrent endometrial cancer (EC) and who are candidates for systemic therapy. JEMPERLI is indicated as monotherapy for the treatment of adult patients with dMMR/ MSI-H recurrent or advanced EC that has progressed on or following prior treatment with a platinum containing regimen.;https://www.ema.europa.eu/en/medicines/human/EPAR/jemperli
Neupro;rotigotine;rotigotine;Parkinson's disease: Neupro is indicated for the treatment of the signs and symptoms of early-stage idiopathic Parkinson's disease as monotherapy (i.e. without levodopa) or in combination with levodopa, i.e. over the course of the disease, through to late stages when the effect of levodopa wears off or becomes inconsistent and fluctuations of the therapeutic effect occur (end of dose or 'on-off' fluctuations). Restless-legs syndrome: Neupro is indicated for the symptomatic treatment of moderate to severe idiopathic restless-legs syndrome in adults.;https://www.ema.europa.eu/en/medicines/human/EPAR/neupro
Vazkepa;icosapent ethyl;Icosapent ethyl;Indicated to reduce cardiovascular risk as an adjunct to statin therapy.;https://www.ema.europa.eu/en/medicines/human/EPAR/vazkepa
Cabazitaxel Accord;cabazitaxel;cabazitaxel;Treatment of patients with hormone refractory metastatic prostate cancer previously treated with a docetaxel-containing regimen.;https://www.ema.europa.eu/en/medicines/human/EPAR/cabazitaxel-accord
